n00004475	organism, being
n02110063	malamute, malemute, Alaskan malamute
n02110185	Siberian husky
n02110341	dalmatian, coach dog, carriage dog
n02110532	liver-spotted dalmatian
n02110627	affenpinscher, monkey pinscher, monkey dog
n02110806	basenji
n02110958	pug, pug-dog
n02111129	Leonberg
n02111277	Newfoundland, Newfoundland dog
n02111500	Great Pyrenees
n02111626	spitz
n02111889	Samoyed, Samoyede
n02112018	Pomeranian
n02112137	chow, chow chow
n02112350	keeshond
n02112497	griffon, Brussels griffon, Belgian griffon
n02112706	Brabancon griffon
n02112826	corgi, Welsh corgi
n02113023	Pembroke, Pembroke Welsh corgi
n02113186	Cardigan, Cardigan Welsh corgi
n02113335	poodle, poodle dog
n02113624	toy poodle
n02113712	miniature poodle
n02113799	standard poodle
n02113892	large poodle
n02113978	Mexican hairless
n02114100	wolf
n02114367	timber wolf, grey wolf, gray wolf, Canis lupus
n02114548	white wolf, Arctic wolf, Canis lupus tundrarum
n02114712	red wolf, maned wolf, Canis rufus, Canis niger
n02114855	coyote, prairie wolf, brush wolf, Canis latrans
n02115012	coydog
n02115096	jackal, Canis aureus
n02115335	wild dog
n02115641	dingo, warrigal, warragal, Canis dingo
n02115913	dhole, Cuon alpinus
n02116185	crab-eating dog, crab-eating fox, Dusicyon cancrivorus
n02116450	raccoon dog, Nyctereutes procyonides
n02116738	African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus
n02117135	hyena, hyaena
n02117512	striped hyena, Hyaena hyaena
n02117646	brown hyena, strand wolf, Hyaena brunnea
n02117900	spotted hyena, laughing hyena, Crocuta crocuta
n02118176	aardwolf, Proteles cristata
n02118333	fox
n02118643	vixen
n02118707	Reynard
n02119022	red fox, Vulpes vulpes
n02119247	black fox
n02119359	silver fox
n02119477	red fox, Vulpes fulva
n02119634	kit fox, prairie fox, Vulpes velox
n02119789	kit fox, Vulpes macrotis
n02120079	Arctic fox, white fox, Alopex lagopus
n02120278	blue fox
n02120505	grey fox, gray fox, Urocyon cinereoargenteus
n02120997	feline, felid
n02121620	cat, true cat
n02121808	domestic cat, house cat, Felis domesticus, Felis catus
n02122298	kitty, kitty-cat, puss, pussy, pussycat
n02122430	mouser
n02122510	alley cat
n02122580	stray
n02122725	tom, tomcat
n02122810	gib
n02122878	tabby, queen
n02122948	kitten, kitty
n02123045	tabby, tabby cat
n02123159	tiger cat
n02123242	tortoiseshell, tortoiseshell-cat, calico cat
n02123394	Persian cat
n02123478	Angora, Angora cat
n02123597	Siamese cat, Siamese
n02123785	blue point Siamese
n02123917	Burmese cat
n02124075	Egyptian cat
n02124157	Maltese, Maltese cat
n02124313	Abyssinian, Abyssinian cat
n02124484	Manx, Manx cat
n02124623	wildcat
n02125010	sand cat
n02125081	European wildcat, catamountain, Felis silvestris
n02125311	cougar, puma, catamount, mountain lion, painter, panther, Felis concolor
n02125494	ocelot, panther cat, Felis pardalis
n02125689	jaguarundi, jaguarundi cat, jaguarondi, eyra, Felis yagouaroundi
n02125872	kaffir cat, caffer cat, Felis ocreata
n02126028	jungle cat, Felis chaus
n02126139	serval, Felis serval
n02126317	leopard cat, Felis bengalensis
n02126640	margay, margay cat, Felis wiedi
n02126787	manul, Pallas's cat, Felis manul
n02127052	lynx, catamount
n02127292	common lynx, Lynx lynx
n02127381	Canada lynx, Lynx canadensis
n02127482	bobcat, bay lynx, Lynx rufus
n02127586	spotted lynx, Lynx pardina
n02127678	caracal, desert lynx, Lynx caracal
n02127808	big cat, cat
n02128385	leopard, Panthera pardus
n02128598	leopardess
n02128669	panther
n02128757	snow leopard, ounce, Panthera uncia
n02128925	jaguar, panther, Panthera onca, Felis onca
n02129165	lion, king of beasts, Panthera leo
n02129463	lioness
n02129530	lionet
n02129604	tiger, Panthera tigris
n02129837	Bengal tiger
n02129923	tigress
n02129991	liger
n02130086	tiglon, tigon
n02130308	cheetah, chetah, Acinonyx jubatus
n02130545	saber-toothed tiger, sabertooth
n02130925	Smiledon californicus
n02131653	bear
n02132136	brown bear, bruin, Ursus arctos
n02132320	bruin
n02132466	Syrian bear, Ursus arctos syriacus
n02132580	grizzly, grizzly bear, silvertip, silver-tip, Ursus horribilis, Ursus arctos horribilis
n02132788	Alaskan brown bear, Kodiak bear, Kodiak, Ursus middendorffi, Ursus arctos middendorffi
n02133161	American black bear, black bear, Ursus americanus, Euarctos americanus
n02133400	cinnamon bear
n02133704	Asiatic black bear, black bear, Ursus thibetanus, Selenarctos thibetanus
n02134084	ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus
n02134418	sloth bear, Melursus ursinus, Ursus ursinus
n02134971	viverrine, viverrine mammal
n02135220	civet, civet cat
n02135610	large civet, Viverra zibetha
n02135844	small civet, Viverricula indica, Viverricula malaccensis
n02136103	binturong, bearcat, Arctictis bintourong
n02136285	Cryptoprocta, genus Cryptoprocta
n02136452	fossa, fossa cat, Cryptoprocta ferox
n02136794	fanaloka, Fossa fossa
n02137015	genet, Genetta genetta
n02137302	banded palm civet, Hemigalus hardwickii
n02137549	mongoose
n02137722	Indian mongoose, Herpestes nyula
n02137888	ichneumon, Herpestes ichneumon
n02138169	palm cat, palm civet
n02138441	meerkat, mierkat
n02138647	slender-tailed meerkat, Suricata suricatta
n02138777	suricate, Suricata tetradactyla
n02139199	bat, chiropteran
n02139671	fruit bat, megabat
n02140049	flying fox
n02140179	Pteropus capestratus
n02140268	Pteropus hypomelanus
n02140491	harpy, harpy bat, tube-nosed bat, tube-nosed fruit bat
n02140858	Cynopterus sphinx
n02141306	carnivorous bat, microbat
n02141611	mouse-eared bat
n02141713	leafnose bat, leaf-nosed bat
n02142407	macrotus, Macrotus californicus
n02142734	spearnose bat
n02142898	Phyllostomus hastatus
n02143142	hognose bat, Choeronycteris mexicana
n02143439	horseshoe bat
n02143891	horseshoe bat
n02144251	orange bat, orange horseshoe bat, Rhinonicteris aurantius
n02144593	false vampire, false vampire bat
n02144936	big-eared bat, Megaderma lyra
n02145424	vespertilian bat, vespertilionid
n02145910	frosted bat, Vespertilio murinus
n02146201	red bat, Lasiurus borealis
n02146371	brown bat
n02146700	little brown bat, little brown myotis, Myotis leucifugus
n02146879	cave myotis, Myotis velifer
n02147173	big brown bat, Eptesicus fuscus
n02147328	serotine, European brown bat, Eptesicus serotinus
n02147591	pallid bat, cave bat, Antrozous pallidus
n02147947	pipistrelle, pipistrel, Pipistrellus pipistrellus
n02148088	eastern pipistrel, Pipistrellus subflavus
n02148512	jackass bat, spotted bat, Euderma maculata
n02148835	long-eared bat
n02148991	western big-eared bat, Plecotus townsendi
n02149420	freetail, free-tailed bat, freetailed bat
n02149653	guano bat, Mexican freetail bat, Tadarida brasiliensis
n02149861	pocketed bat, pocketed freetail bat, Tadirida femorosacca
n02150134	mastiff bat
n02150482	vampire bat, true vampire bat
n02150885	Desmodus rotundus
n02151230	hairy-legged vampire bat, Diphylla ecaudata
n02152740	predator, predatory animal
n02152881	prey, quarry
n02152991	game
n02153109	big game
n02153203	game bird
n02153809	fossorial mammal
n02156732	tetrapod
n02156871	quadruped
n02157206	hexapod
n02157285	biped
n02159955	insect
n02160947	social insect
n02161225	holometabola, metabola
n02161338	defoliator
n02161457	pollinator
n02161588	gallfly
n02162561	scorpion fly
n02163008	hanging fly
n02163297	collembolan, springtail
n02164464	beetle
n02165105	tiger beetle
n02165456	ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle
n02165877	two-spotted ladybug, Adalia bipunctata
n02166229	Mexican bean beetle, bean beetle, Epilachna varivestis
n02166567	Hippodamia convergens
n02166826	vedalia, Rodolia cardinalis
n02167151	ground beetle, carabid beetle
n02167505	bombardier beetle
n02167820	calosoma
n02167944	searcher, searcher beetle, Calosoma scrutator
n02168245	firefly, lightning bug
n02168427	glowworm
n02168699	long-horned beetle, longicorn, longicorn beetle
n02169023	sawyer, sawyer beetle
n02169218	pine sawyer
n02169497	leaf beetle, chrysomelid
n02169705	flea beetle
n02169974	Colorado potato beetle, Colorado beetle, potato bug, potato beetle, Leptinotarsa decemlineata
n02170400	carpet beetle, carpet bug
n02170599	buffalo carpet beetle, Anthrenus scrophulariae
n02170738	black carpet beetle
n02170993	clerid beetle, clerid
n02171164	bee beetle
n02171453	lamellicorn beetle
n02171869	scarabaeid beetle, scarabaeid, scarabaean
n02172182	dung beetle
n02172518	scarab, scarabaeus, Scarabaeus sacer
n02172678	tumblebug
n02172761	dorbeetle
n02172870	June beetle, June bug, May bug, May beetle
n02173113	green June beetle, figeater
n02173373	Japanese beetle, Popillia japonica
n02173784	Oriental beetle, Asiatic beetle, Anomala orientalis
n02174001	rhinoceros beetle
n02174355	melolonthid beetle
n02174659	cockchafer, May bug, May beetle, Melolontha melolontha
n02175014	rose chafer, rose bug, Macrodactylus subspinosus
n02175569	rose chafer, rose beetle, Cetonia aurata
n02175916	stag beetle
n02176261	elaterid beetle, elater, elaterid
n02176439	click beetle, skipjack, snapping beetle
n02176747	firefly, fire beetle, Pyrophorus noctiluca
n02176916	wireworm
n02177196	water beetle
n02177506	whirligig beetle
n02177775	deathwatch beetle, deathwatch, Xestobium rufovillosum
n02177972	weevil
n02178411	snout beetle
n02178717	boll weevil, Anthonomus grandis
n02179012	blister beetle, meloid
n02179192	oil beetle
n02179340	Spanish fly
n02179891	Dutch-elm beetle, Scolytus multistriatus
n02180233	bark beetle
n02180427	spruce bark beetle, Dendroctonus rufipennis
n02180875	rove beetle
n02181235	darkling beetle, darkling groung beetle, tenebrionid
n02181477	mealworm
n02181724	flour beetle, flour weevil
n02182045	seed beetle, seed weevil
n02182355	pea weevil, Bruchus pisorum
n02182642	bean weevil, Acanthoscelides obtectus
n02182930	rice weevil, black weevil, Sitophylus oryzae
n02183096	Asian longhorned beetle, Anoplophora glabripennis
n02183507	web spinner
n02183857	louse, sucking louse
n02184473	common louse, Pediculus humanus
n02184589	head louse, Pediculus capitis
n02184720	body louse, cootie, Pediculus corporis
n02185167	crab louse, pubic louse, crab, Phthirius pubis
n02185481	bird louse, biting louse, louse
n02186153	flea
n02186717	Pulex irritans
n02187150	dog flea, Ctenocephalides canis
n02187279	cat flea, Ctenocephalides felis
n02187554	chigoe, chigger, chigoe flea, Tunga penetrans
n02187900	sticktight, sticktight flea, Echidnophaga gallinacea
n02188699	dipterous insect, two-winged insects, dipteran, dipteron
n02189363	gall midge, gallfly, gall gnat
n02189670	Hessian fly, Mayetiola destructor
n02190166	fly
n02190790	housefly, house fly, Musca domestica
n02191273	tsetse fly, tsetse, tzetze fly, tzetze, glossina
n02191773	blowfly, blow fly
n02191979	bluebottle, Calliphora vicina
n02192252	greenbottle, greenbottle fly
n02192513	flesh fly, Sarcophaga carnaria
n02192814	tachina fly
n02193009	gadfly
n02193163	botfly
n02194249	human botfly, Dermatobia hominis
n02194750	sheep botfly, sheep gadfly, Oestrus ovis
n02195091	warble fly
n02195526	horsefly, cleg, clegg, horse fly
n02195819	bee fly
n02196119	robber fly, bee killer
n02196344	fruit fly, pomace fly
n02196896	apple maggot, railroad worm, Rhagoletis pomonella
n02197185	Mediterranean fruit fly, medfly, Ceratitis capitata
n02197689	drosophila, Drosophila melanogaster
n02197877	vinegar fly
n02198129	leaf miner, leaf-miner
n02198532	louse fly, hippoboscid
n02198859	horse tick, horsefly, Hippobosca equina
n02199170	sheep ked, sheep-tick, sheep tick, Melophagus Ovinus
n02199502	horn fly, Haematobia irritans
n02200198	mosquito
n02200509	wiggler, wriggler
n02200630	gnat
n02200850	yellow-fever mosquito, Aedes aegypti
n02201000	Asian tiger mosquito, Aedes albopictus
n02201497	anopheline
n02201626	malarial mosquito, malaria mosquito
n02202006	common mosquito, Culex pipiens
n02202124	Culex quinquefasciatus, Culex fatigans
n02202287	gnat
n02202678	punkie, punky, punkey, no-see-um, biting midge
n02203152	midge
n02203592	fungus gnat
n02203978	psychodid
n02204249	sand fly, sandfly, Phlebotomus papatasii
n02204722	fungus gnat, sciara, sciarid
n02204907	armyworm
n02205219	crane fly, daddy longlegs
n02205673	blackfly, black fly, buffalo gnat
n02206270	hymenopterous insect, hymenopteran, hymenopteron, hymenopter
n02206856	bee
n02207179	drone
n02207345	queen bee
n02207449	worker
n02207647	soldier
n02207805	worker bee
n02208280	honeybee, Apis mellifera
n02208498	Africanized bee, Africanized honey bee, killer bee, Apis mellifera scutellata, Apis mellifera adansonii
n02208848	black bee, German bee
n02208979	Carniolan bee
n02209111	Italian bee
n02209354	carpenter bee
n02209624	bumblebee, humblebee
n02209964	cuckoo-bumblebee
n02210427	andrena, andrenid, mining bee
n02210921	Nomia melanderi, alkali bee
n02211444	leaf-cutting bee, leaf-cutter, leaf-cutter bee
n02211627	mason bee
n02211896	potter bee
n02212062	wasp
n02212602	vespid, vespid wasp
n02212958	paper wasp
n02213107	hornet
n02213239	giant hornet, Vespa crabro
n02213543	common wasp, Vespula vulgaris
n02213663	bald-faced hornet, white-faced hornet, Vespula maculata
n02213788	yellow jacket, yellow hornet, Vespula maculifrons
n02214096	Polistes annularis
n02214341	mason wasp
n02214499	potter wasp
n02214660	Mutillidae, family Mutillidae
n02214773	velvet ant
n02215161	sphecoid wasp, sphecoid
n02215621	mason wasp
n02215770	digger wasp
n02216211	cicada killer, Sphecius speciosis
n02216365	mud dauber
n02216740	gall wasp, gallfly, cynipid wasp, cynipid gall wasp
n02217563	chalcid fly, chalcidfly, chalcid, chalcid wasp
n02217839	strawworm, jointworm
n02218134	chalcis fly
n02218371	ichneumon fly
n02218713	sawfly
n02219015	birch leaf miner, Fenusa pusilla
n02219486	ant, emmet, pismire
n02220055	pharaoh ant, pharaoh's ant, Monomorium pharaonis
n02220225	little black ant, Monomorium minimum
n02220518	army ant, driver ant, legionary ant
n02220804	carpenter ant
n02221083	fire ant
n02221414	wood ant, Formica rufa
n02221571	slave ant
n02221715	Formica fusca
n02221820	slave-making ant, slave-maker
n02222035	sanguinary ant, Formica sanguinea
n02222321	bulldog ant
n02222582	Amazon ant, Polyergus rufescens
n02223266	termite, white ant
n02223520	dry-wood termite
n02224023	Reticulitermes lucifugus
n02224713	Mastotermes darwiniensis
n02225081	Mastotermes electrodominicus
n02225798	powder-post termite, Cryptotermes brevis
n02226183	orthopterous insect, orthopteron, orthopteran
n02226429	grasshopper, hopper
n02226821	short-horned grasshopper, acridid
n02226970	locust
n02227247	migratory locust, Locusta migratoria
n02227604	migratory grasshopper
n02227966	long-horned grasshopper, tettigoniid
n02228341	katydid
n02228697	mormon cricket, Anabrus simplex
n02229156	sand cricket, Jerusalem cricket, Stenopelmatus fuscus
n02229544	cricket
n02229765	mole cricket
n02230023	European house cricket, Acheta domestica
n02230187	field cricket, Acheta assimilis
n02230480	tree cricket
n02230634	snowy tree cricket, Oecanthus fultoni
n02231052	phasmid, phasmid insect
n02231487	walking stick, walkingstick, stick insect
n02231803	diapheromera, Diapheromera femorata
n02232223	walking leaf, leaf insect
n02233338	cockroach, roach
n02233943	oriental cockroach, oriental roach, Asiatic cockroach, blackbeetle, Blatta orientalis
n02234355	American cockroach, Periplaneta americana
n02234570	Australian cockroach, Periplaneta australasiae
n02234848	German cockroach, Croton bug, crotonbug, water bug, Blattella germanica
n02235205	giant cockroach
n02236044	mantis, mantid
n02236241	praying mantis, praying mantid, Mantis religioso
n02236355	bug
n02236896	hemipterous insect, bug, hemipteran, hemipteron
n02237424	leaf bug, plant bug
n02237581	mirid bug, mirid, capsid
n02237868	four-lined plant bug, four-lined leaf bug, Poecilocapsus lineatus
n02238235	lygus bug
n02238358	tarnished plant bug, Lygus lineolaris
n02238594	lace bug
n02238887	lygaeid, lygaeid bug
n02239192	chinch bug, Blissus leucopterus
n02239528	coreid bug, coreid
n02239774	squash bug, Anasa tristis
n02240068	leaf-footed bug, leaf-foot bug
n02240517	bedbug, bed bug, chinch, Cimex lectularius
n02241008	backswimmer, Notonecta undulata
n02241426	true bug
n02241569	heteropterous insect
n02241799	water bug
n02242137	giant water bug
n02242455	water scorpion
n02243209	water boatman, boat bug
n02243562	water strider, pond-skater, water skater
n02243878	common pond-skater, Gerris lacustris
n02244173	assassin bug, reduviid
n02244515	conenose, cone-nosed bug, conenose bug, big bedbug, kissing bug
n02244797	wheel bug, Arilus cristatus
n02245111	firebug
n02245443	cotton stainer
n02246011	homopterous insect, homopteran
n02246628	whitefly
n02246941	citrus whitefly, Dialeurodes citri
n02247216	greenhouse whitefly, Trialeurodes vaporariorum
n02247511	sweet-potato whitefly
n02247655	superbug, Bemisia tabaci, poinsettia strain
n02248062	cotton strain
n02248368	coccid insect
n02248510	scale insect
n02248887	soft scale
n02249134	brown soft scale, Coccus hesperidum
n02249515	armored scale
n02249809	San Jose scale, Aspidiotus perniciosus
n02250280	cochineal insect, cochineal, Dactylopius coccus
n02250822	mealybug, mealy bug
n02251067	citrophilous mealybug, citrophilus mealybug, Pseudococcus fragilis
n02251233	Comstock mealybug, Comstock's mealybug, Pseudococcus comstocki
n02251593	citrus mealybug, Planococcus citri
n02251775	plant louse, louse
n02252226	aphid
n02252799	apple aphid, green apple aphid, Aphis pomi
n02252972	blackfly, bean aphid, Aphis fabae
n02253127	greenfly
n02253264	green peach aphid
n02253494	ant cow
n02253715	woolly aphid, woolly plant louse
n02253913	woolly apple aphid, American blight, Eriosoma lanigerum
n02254246	woolly alder aphid, Prociphilus tessellatus
n02254697	adelgid
n02254901	balsam woolly aphid, Adelges piceae
n02255023	spruce gall aphid, Adelges abietis
n02255391	woolly adelgid
n02256172	jumping plant louse, psylla, psyllid
n02256656	cicada, cicala
n02257003	dog-day cicada, harvest fly
n02257284	seventeen-year locust, periodical cicada, Magicicada septendecim
n02257715	spittle insect, spittlebug
n02257985	froghopper
n02258198	meadow spittlebug, Philaenus spumarius
n02258508	pine spittlebug
n02258629	Saratoga spittlebug, Aphrophora saratogensis
n02259212	leafhopper
n02259377	plant hopper, planthopper
n02259708	treehopper
n02259987	lantern fly, lantern-fly
n02260421	psocopterous insect
n02260863	psocid
n02261063	bark-louse, bark louse
n02261419	booklouse, book louse, deathwatch, Liposcelis divinatorius
n02261757	common booklouse, Trogium pulsatorium
n02262178	ephemerid, ephemeropteran
n02262449	mayfly, dayfly, shadfly
n02262803	stonefly, stone fly, plecopteran
n02263378	neuropteron, neuropteran, neuropterous insect
n02264021	ant lion, antlion, antlion fly
n02264232	doodlebug, ant lion, antlion
n02264363	lacewing, lacewing fly
n02264591	aphid lion, aphis lion
n02264885	green lacewing, chrysopid, stink fly
n02265330	brown lacewing, hemerobiid, hemerobiid fly
n02266050	dobson, dobsonfly, dobson fly, Corydalus cornutus
n02266269	hellgrammiate, dobson
n02266421	fish fly, fish-fly
n02266864	alderfly, alder fly, Sialis lutaria
n02267208	snakefly
n02267483	mantispid
n02268148	odonate
n02268443	dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk
n02268853	damselfly
n02269196	trichopterous insect, trichopteran, trichopteron
n02269340	caddis fly, caddis-fly, caddice fly, caddice-fly
n02269522	caseworm
n02269657	caddisworm, strawworm
n02270011	thysanuran insect, thysanuron
n02270200	bristletail
n02270623	silverfish, Lepisma saccharina
n02270945	firebrat, Thermobia domestica
n02271222	jumping bristletail, machilid
n02271570	thysanopter, thysanopteron, thysanopterous insect
n02271897	thrips, thrip, thripid
n02272286	tobacco thrips, Frankliniella fusca
n02272552	onion thrips, onion louse, Thrips tobaci
n02272871	earwig
n02273392	common European earwig, Forficula auricularia
n02274024	lepidopterous insect, lepidopteron, lepidopteran
n02274259	butterfly
n02274822	nymphalid, nymphalid butterfly, brush-footed butterfly, four-footed butterfly
n02275560	mourning cloak, mourning cloak butterfly, Camberwell beauty, Nymphalis antiopa
n02275773	tortoiseshell, tortoiseshell butterfly
n02276078	painted beauty, Vanessa virginiensis
n02276258	admiral
n02276355	red admiral, Vanessa atalanta
n02276749	white admiral, Limenitis camilla
n02276902	banded purple, white admiral, Limenitis arthemis
n02277094	red-spotted purple, Limenitis astyanax
n02277268	viceroy, Limenitis archippus
n02277422	anglewing
n02277742	ringlet, ringlet butterfly
n02278024	comma, comma butterfly, Polygonia comma
n02278210	fritillary
n02278463	silverspot
n02278839	emperor butterfly, emperor
n02278980	purple emperor, Apatura iris
n02279257	peacock, peacock butterfly, Inachis io
n02279637	danaid, danaid butterfly
n02279972	monarch, monarch butterfly, milkweed butterfly, Danaus plexippus
n02280458	pierid, pierid butterfly
n02280649	cabbage butterfly
n02281015	small white, Pieris rapae
n02281136	large white, Pieris brassicae
n02281267	southern cabbage butterfly, Pieris protodice
n02281406	sulphur butterfly, sulfur butterfly
n02281787	lycaenid, lycaenid butterfly
n02282257	blue
n02282385	copper
n02282553	American copper, Lycaena hypophlaeas
n02282903	hairstreak, hairstreak butterfly
n02283077	Strymon melinus
n02283201	moth
n02283617	moth miller, miller
n02283951	tortricid, tortricid moth
n02284224	leaf roller, leaf-roller
n02284611	tea tortrix, tortrix, Homona coffearia
n02284884	orange tortrix, tortrix, Argyrotaenia citrana
n02285179	codling moth, codlin moth, Carpocapsa pomonella
n02285548	lymantriid, tussock moth
n02285801	tussock caterpillar
n02286089	gypsy moth, gipsy moth, Lymantria dispar
n02286425	browntail, brown-tail moth, Euproctis phaeorrhoea
n02286654	gold-tail moth, Euproctis chrysorrhoea
n02287004	geometrid, geometrid moth
n02287352	Paleacrita vernata
n02287622	Alsophila pometaria
n02287799	cankerworm
n02287987	spring cankerworm
n02288122	fall cankerworm
n02288268	measuring worm, inchworm, looper
n02288789	pyralid, pyralid moth
n02289307	bee moth, wax moth, Galleria mellonella
n02289610	corn borer, European corn borer moth, corn borer moth, Pyrausta nubilalis
n02289988	Mediterranean flour moth, Anagasta kuehniella
n02290340	tobacco moth, cacao moth, Ephestia elutella
n02290664	almond moth, fig moth, Cadra cautella
n02290870	raisin moth, Cadra figulilella
n02291220	tineoid, tineoid moth
n02291572	tineid, tineid moth
n02291748	clothes moth
n02292085	casemaking clothes moth, Tinea pellionella
n02292401	webbing clothes moth, webbing moth, Tineola bisselliella
n02292692	carpet moth, tapestry moth, Trichophaga tapetzella
n02293352	gelechiid, gelechiid moth
n02293868	grain moth
n02294097	angoumois moth, angoumois grain moth, Sitotroga cerealella
n02294407	potato moth, potato tuber moth, splitworm, Phthorimaea operculella
n02294577	potato tuberworm, Phthorimaea operculella
n02295064	noctuid moth, noctuid, owlet moth
n02295390	cutworm
n02295870	underwing
n02296021	red underwing, Catocala nupta
n02296276	antler moth, Cerapteryx graminis
n02296612	heliothis moth, Heliothis zia
n02296912	army cutworm, Chorizagrotis auxiliaris
n02297294	armyworm, Pseudaletia unipuncta
n02297442	armyworm, army worm, Pseudaletia unipuncta
n02297819	Spodoptera exigua
n02297938	beet armyworm, Spodoptera exigua
n02298095	Spodoptera frugiperda
n02298218	fall armyworm, Spodoptera frugiperda
n02298541	hawkmoth, hawk moth, sphingid, sphinx moth, hummingbird moth
n02299039	Manduca sexta
n02299157	tobacco hornworm, tomato worm, Manduca sexta
n02299378	Manduca quinquemaculata
n02299505	tomato hornworm, potato worm, Manduca quinquemaculata
n02299846	death's-head moth, Acherontia atropos
n02300173	bombycid, bombycid moth, silkworm moth
n02300554	domestic silkworm moth, domesticated silkworm moth, Bombyx mori
n02300797	silkworm
n02301452	saturniid, saturniid moth
n02301935	emperor, emperor moth, Saturnia pavonia
n02302244	imperial moth, Eacles imperialis
n02302459	giant silkworm moth, silkworm moth
n02302620	silkworm, giant silkworm, wild wilkworm
n02302969	luna moth, Actias luna
n02303284	cecropia, cecropia moth, Hyalophora cecropia
n02303585	cynthia moth, Samia cynthia, Samia walkeri
n02303777	ailanthus silkworm, Samia cynthia
n02304036	io moth, Automeris io
n02304432	polyphemus moth, Antheraea polyphemus
n02304657	pernyi moth, Antheraea pernyi
n02304797	tussah, tusseh, tussur, tussore, tusser, Antheraea mylitta
n02305085	atlas moth, Atticus atlas
n02305407	arctiid, arctiid moth
n02305636	tiger moth
n02305929	cinnabar, cinnabar moth, Callimorpha jacobeae
n02306433	lasiocampid, lasiocampid moth
n02306825	eggar, egger
n02307176	tent-caterpillar moth, Malacosoma americana
n02307325	tent caterpillar
n02307515	tent-caterpillar moth, Malacosoma disstria
n02307681	forest tent caterpillar, Malacosoma disstria
n02307910	lappet, lappet moth
n02308033	lappet caterpillar
n02308139	webworm
n02308471	webworm moth
n02308618	Hyphantria cunea
n02308735	fall webworm, Hyphantria cunea
n02309120	garden webworm, Loxostege similalis
n02309242	instar
n02309337	caterpillar
n02309841	corn borer, Pyrausta nubilalis
n02310000	bollworm
n02310149	pink bollworm, Gelechia gossypiella
n02310334	corn earworm, cotton bollworm, tomato fruitworm, tobacco budworm, vetchworm, Heliothis zia
n02310585	cabbageworm, Pieris rapae
n02310717	woolly bear, woolly bear caterpillar
n02310941	woolly bear moth
n02311060	larva
n02311617	nymph
n02311748	leptocephalus
n02312006	grub
n02312175	maggot
n02312325	leatherjacket
n02312427	pupa
n02312640	chrysalis
n02312912	imago
n02313008	queen
n02313360	phoronid
n02313709	bryozoan, polyzoan, sea mat, sea moss, moss animal
n02315487	brachiopod, lamp shell, lampshell
n02315821	peanut worm, sipunculid
n02316707	echinoderm
n02317335	starfish, sea star
n02317781	brittle star, brittle-star, serpent star
n02318167	basket star, basket fish
n02318687	Astrophyton muricatum
n02319095	sea urchin
n02319308	edible sea urchin, Echinus esculentus
n02319555	sand dollar
n02319829	heart urchin
n02320127	crinoid
n02320465	sea lily
n02321170	feather star, comatulid
n02321529	sea cucumber, holothurian
n02322047	trepang, Holothuria edulis
n02322992	Duplicidentata
n02323449	lagomorph, gnawing mammal
n02323902	leporid, leporid mammal
n02324045	rabbit, coney, cony
n02324431	rabbit ears
n02324514	lapin
n02324587	bunny, bunny rabbit
n02324850	European rabbit, Old World rabbit, Oryctolagus cuniculus
n02325366	wood rabbit, cottontail, cottontail rabbit
n02325722	eastern cottontail, Sylvilagus floridanus
n02325884	swamp rabbit, canecutter, swamp hare, Sylvilagus aquaticus
n02326074	marsh hare, swamp rabbit, Sylvilagus palustris
n02326432	hare
n02326763	leveret
n02326862	European hare, Lepus europaeus
n02327028	jackrabbit
n02327175	white-tailed jackrabbit, whitetail jackrabbit, Lepus townsendi
n02327435	blacktail jackrabbit, Lepus californicus
n02327656	polar hare, Arctic hare, Lepus arcticus
n02327842	snowshoe hare, snowshoe rabbit, varying hare, Lepus americanus
n02328009	Belgian hare, leporide
n02328150	Angora, Angora rabbit
n02328429	pika, mouse hare, rock rabbit, coney, cony
n02328820	little chief hare, Ochotona princeps
n02328942	collared pika, Ochotona collaris
n02329401	rodent, gnawer
n02330245	mouse
n02331046	rat
n02331309	pocket rat
n02331842	murine
n02332156	house mouse, Mus musculus
n02332447	harvest mouse, Micromyx minutus
n02332755	field mouse, fieldmouse
n02332954	nude mouse
n02333190	European wood mouse, Apodemus sylvaticus
n02333546	brown rat, Norway rat, Rattus norvegicus
n02333733	wharf rat
n02333819	sewer rat
n02333909	black rat, roof rat, Rattus rattus
n02334201	bandicoot rat, mole rat
n02334460	jerboa rat
n02334728	kangaroo mouse
n02335127	water rat
n02335231	beaver rat
n02336011	New World mouse
n02336275	American harvest mouse, harvest mouse
n02336641	wood mouse
n02336826	white-footed mouse, vesper mouse, Peromyscus leucopus
n02337001	deer mouse, Peromyscus maniculatus
n02337171	cactus mouse, Peromyscus eremicus
n02337332	cotton mouse, Peromyscus gossypinus
n02337598	pygmy mouse, Baiomys taylori
n02337902	grasshopper mouse
n02338145	muskrat, musquash, Ondatra zibethica
n02338449	round-tailed muskrat, Florida water rat, Neofiber alleni
n02338722	cotton rat, Sigmodon hispidus
n02338901	wood rat, wood-rat
n02339282	dusky-footed wood rat
n02339376	vole, field mouse
n02339922	packrat, pack rat, trade rat, bushytail woodrat, Neotoma cinerea
